variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,633000,subsequence_pattern,42,464,2024-02-08,0.787803776683087,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,37.0,log1p,13,464,0.8378724001094691,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,633000,subsequence_pattern,43,517,2024-04-01,0.7873259441707717,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,13.0,log1p,24,517,0.8002946086480568,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,3.0
raw,633000,subsequence_pattern,47,514,2024-03-29,0.7684101669403394,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,32.0,log1p,41,514,0.7330132731253421,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
raw,2968000,contextual_point,1,527,2024-04-11,0.9968938149972632,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,21,527,0.8583453065134101,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,7.0
raw,2968000,contextual_point,2,499,2024-03-14,0.9961856869184456,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,8,499,0.9581930760810072,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,3.0
raw,2968000,contextual_point,3,471,2024-02-15,0.9948720580186098,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,14,471,0.881997468527641,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,10.0
raw,2968000,contextual_point,4,370,2023-11-06,0.993356595511768,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0,log1p,1,370,0.9966030377668308,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
raw,2968000,contextual_point,5,321,2023-09-18,0.9827158593322386,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0,log1p,4,321,0.9757047071702244,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
raw,2968000,contextual_point,7,577,2024-05-31,0.9797482211275316,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,6.0,log1p,11,577,0.9244663382594416,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,19.0
raw,2968000,contextual_point,8,573,2024-05-27,0.9780805281882868,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0,log1p,6,573,0.9640873015873016,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,2.0
